Lat,Long,Name,Tenths,BendName,BendNumber
38.80788,-90.11567,0,0,,
38.80932,-90.1161,0.1,1,,
38.8107,-90.1167,0.2,2,,
38.81202,-90.11748,0.3,3,,
38.81336,-90.11831,0.4,4,,
38.81463,-90.11917,0.5,5,,
38.81593,-90.12014,0.6,6,,
38.81716,-90.12113,0.7,7,,
38.81835,-90.12213,0.8,8,,
38.81953,-90.12318,0.9,9,,
38.82067,-90.12425,1,0,,
38.82183,-90.12535,1.1,1,,
38.82297,-90.12646,1.2,2,,
38.82405,-90.12769,1.3,3,,
38.82508,-90.12898,1.4,4,,
38.82603,-90.13038,1.5,5,,
38.82695,-90.13184,1.6,6,,
38.8278,-90.13333,1.7,7,,
38.82854,-90.13489,1.8,8,,
38.82929,-90.13655,1.9,9,,
38.83,-90.13823,2,0,,
38.8306,-90.13992,2.1,1,,
38.83105,-90.14167,2.2,2,,
38.83128,-90.14356,2.3,3,,
38.83138,-90.14541,2.4,4,,
38.83138,-90.14726,2.5,5,,
38.83127,-90.14925,2.6,6,,
38.8311,-90.15109,2.7,7,,
38.83089,-90.15292,2.8,8,,
38.8306,-90.1547,2.9,9,,
38.83013,-90.15646,3,0,,
38.82949,-90.15809,3.1,1,,
38.82864,-90.15958,3.2,2,,
38.82766,-90.16091,3.3,3,,
38.82663,-90.16215,3.4,4,,
38.8255,-90.16352,3.5,5,,
38.82447,-90.16494,3.6,6,,
38.82354,-90.16633,3.7,7,,
38.82258,-90.1678,3.8,8,,
38.82165,-90.16923,3.9,9,,
38.82079,-90.17071,4,0,,
38.82003,-90.17226,4.1,1,,
38.81926,-90.17383,4.2,2,,
38.81856,-90.17546,4.3,3,,
38.81792,-90.1772,4.4,4,,
38.81741,-90.17894,4.5,5,,
38.81708,-90.18076,4.6,6,,
38.81686,-90.18262,4.7,7,,
38.81681,-90.18446,4.8,8,,
38.81695,-90.18632,4.9,9,,
38.81719,-90.18818,5,0,,
38.81756,-90.18994,5.1,1,,
38.81807,-90.1917,5.2,2,,
38.81868,-90.19341,5.3,3,,
38.81933,-90.19501,5.4,4,,
38.82002,-90.19665,5.5,5,,
38.82079,-90.19827,5.6,6,,
38.82164,-90.19978,5.7,7,,
38.82259,-90.20115,5.8,8,,
38.82364,-90.20235,5.9,9,,
38.8248,-90.20347,6,0,,
38.82596,-90.20458,6.1,1,,
38.82708,-90.20576,6.2,2,,
38.82822,-90.20712,6.3,3,,
38.82923,-90.20847,6.4,4,,
38.83019,-90.20989,6.5,5,,
38.83113,-90.2113,6.6,6,,
38.83203,-90.21275,6.7,7,,
38.83284,-90.21409,6.8,8,,
38.83373,-90.21563,6.9,9,,
38.83457,-90.2171,7,0,,
38.83544,-90.21858,7.1,1,,
38.83629,-90.22009,7.2,2,,
38.83712,-90.22162,7.3,3,,
38.83793,-90.22314,7.4,4,,
38.83874,-90.22467,7.5,5,,
38.83952,-90.22623,7.6,6,,
38.84029,-90.2278,7.7,7,,
38.84105,-90.22942,7.8,8,,
38.8418,-90.23107,7.9,9,,
38.84253,-90.23269,8,0,,
38.84323,-90.2343,8.1,1,,
38.8439,-90.2359,8.2,2,,
38.84453,-90.23743,8.3,3,,
38.84519,-90.23908,8.4,4,,
38.84582,-90.24075,8.5,5,,
38.84637,-90.2425,8.6,6,,
38.8469,-90.24422,8.7,7,,
38.8474,-90.24596,8.8,8,,
38.84788,-90.24771,8.9,9,,
38.84833,-90.24937,9,0,,
38.84882,-90.25111,9.1,1,,
38.84931,-90.25292,9.2,2,,
38.84981,-90.25471,9.3,3,,
38.85038,-90.25641,9.4,4,,
38.85103,-90.25812,9.5,5,,
38.85182,-90.25968,9.6,6,,
38.85265,-90.26119,9.7,7,,
38.85353,-90.26267,9.8,8,,
38.85444,-90.26406,9.9,9,,
38.85543,-90.26548,10,0,,
38.85645,-90.26679,10.1,1,,
38.85757,-90.26798,10.2,2,,
38.85879,-90.26895,10.3,3,,
38.86008,-90.2697,10.4,4,,
38.86145,-90.27024,10.5,5,,
38.86287,-90.27057,10.6,6,,
38.86425,-90.27094,10.7,7,,
38.8656,-90.27144,10.8,8,,
38.86699,-90.27206,10.9,9,,
38.86833,-90.27269,11,0,,
38.86971,-90.27342,11.1,1,,
38.871,-90.2741,11.2,2,,
38.87225,-90.27487,11.3,3,,
38.87357,-90.27579,11.4,4,,
38.87485,-90.27675,11.5,5,,
38.87606,-90.27781,11.6,6,,
38.87723,-90.27891,11.7,7,,
38.87839,-90.28006,11.8,8,,
38.8795,-90.28125,11.9,9,,
38.8806,-90.28246,12,0,,
38.88168,-90.28371,12.1,1,,
38.88271,-90.28501,12.2,2,,
38.88375,-90.28629,12.3,3,,
38.88476,-90.28763,12.4,4,,
38.88572,-90.28902,12.5,5,,
38.88661,-90.29049,12.6,6,,
38.88741,-90.29203,12.7,7,,
38.88811,-90.29359,12.8,8,,
38.88871,-90.29528,12.9,9,,
38.88921,-90.29702,13,0,,
38.88966,-90.29875,13.1,1,,
38.89009,-90.30056,13.2,2,,
38.89049,-90.30229,13.3,3,,
38.89087,-90.30407,13.4,4,,
38.89123,-90.30586,13.5,5,,
38.89156,-90.30766,13.6,6,,
38.89189,-90.30947,13.7,7,,
38.89209,-90.31128,13.8,8,,
38.89225,-90.31312,13.9,9,,
38.89234,-90.31493,14,0,,
38.89236,-90.31683,14.1,1,,
38.89229,-90.31864,14.2,2,,
38.89219,-90.3205,14.3,3,,
38.89204,-90.32234,14.4,4,,
38.89182,-90.32413,14.5,5,,
38.89154,-90.32606,14.6,6,,
38.89124,-90.32776,14.7,7,,
38.89077,-90.32952,14.8,8,,
38.89021,-90.33123,14.9,9,,
38.88951,-90.33286,15,0,,
